trip_id,duration_in_minutes,start_time,end_time,starting_station_id,ending_stating_id,bike_id,trip_route_category,passholder_type,kilometers_travelled,battery_level_at_start,battery_level_at_the_end,maximum_speed,minimum_speed,average_speed,new_user,damaged_bike
17848847,480,13/01/2017 21:32,13/01/2017 21:40,3082,3036,6474,One Way,Walk-up,3.38,46,5,14.21,4.89,5.24,False,False
20700706,540,24/02/2017 23:13,24/02/2017 23:22,3029,3082,5794,One Way,Monthly Pass,17.46,79,18,12.2,4.98,7.46,False,False
20595730,840,23/02/2017 7:34,23/02/2017 7:48,3022,3005,6604,One Way,Monthly Pass,3.52,27,34,8.93,1.64,7.03,True,True
17307719,420,05/01/2017 12:04,05/01/2017 12:11,3059,3038,6035,One Way,Monthly Pass,1.59,70,48,10.52,3.24,7.17,True,True
21043356,720,01/03/2017 12:56,01/03/2017 13:08,3082,3000,6660,One Way,Monthly Pass,29.31,21,86,13.3,0.48,6.12,True,False
23259758,76860,26/03/2017 14:37,27/03/2017 11:58,3063,3000,5969,One Way,Walk-up,11.71,22,41,10.78,2.47,9.83,False,False
18941656,840,30/01/2017 20:19,30/01/2017 20:33,3035,3040,6728,One Way,Walk-up,28.15,96,25,8.71,4.26,7.0,False,False
15177219,13920,05/12/2016 10:43,05/12/2016 14:35,3008,3000,6180,One Way,Walk-up,5.52,90,30,10.47,2.46,5.68,False,True
18023215,300,16/01/2017 18:14,16/01/2017 18:19,3067,3064,6236,One Way,Walk-up,27.0,92,44,11.59,1.38,5.55,True,True
18980820,86400,29/01/2017 15:51,31/01/2017 8:57,3067,3000,6238,One Way,Walk-up,28.1,59,97,13.55,3.75,8.77,True,False
12227457,14580,03/11/2016 17:21,03/11/2016 21:24,3027,3000,6308,One Way,Flex Pass,29.18,27,13,5.16,0.99,6.0,True,False
21926434,540,12/03/2017 12:37,12/03/2017 12:46,3076,3063,6170,One Way,Monthly Pass,9.56,21,84,14.53,4.6,5.34,True,False
21684654,1260,09/03/2017 17:27,09/03/2017 17:48,3025,3077,6417,One Way,Walk-up,14.42,30,66,10.16,4.69,8.37,True,True
23379763,11040,28/03/2017 16:27,28/03/2017 19:31,3062,3000,6427,One Way,Monthly Pass,26.86,49,83,5.69,2.73,7.1,True,False
23355994,720,28/03/2017 13:47,28/03/2017 13:59,3030,3019,6569,One Way,Walk-up,14.69,55,82,7.96,3.68,6.89,False,True
16726207,1320,25/12/2016 17:15,25/12/2016 17:37,3078,3000,6275,One Way,Walk-up,13.59,18,12,8.84,2.2,5.55,False,True
21435123,420,06/03/2017 14:31,06/03/2017 14:38,3048,3058,6568,One Way,Monthly Pass,0.55,22,69,9.53,1.86,7.86,False,False
22478874,600,18/03/2017 10:47,18/03/2017 10:57,3038,3023,5907,One Way,Walk-up,15.28,21,78,12.04,2.02,8.55,True,False
13913164,11160,19/11/2016 15:39,19/11/2016 18:45,3025,3000,6431,One Way,Walk-up,16.85,97,33,6.15,3.71,5.19,False,False
23183172,720,26/03/2017 14:20,26/03/2017 14:32,3019,3069,6088,One Way,Walk-up,27.71,58,33,8.81,3.58,9.02,True,True
18209835,1860,19/01/2017 17:04,19/01/2017 17:35,3056,3000,6101,One Way,Monthly Pass,13.3,92,28,8.19,2.97,7.27,False,False
20898308,600,27/02/2017 15:34,27/02/2017 15:44,3027,3042,6140,One Way,Walk-up,0.28,98,29,6.51,4.36,6.42,True,False
17249852,480,04/01/2017 12:09,04/01/2017 12:17,3037,3022,6153,One Way,Walk-up,15.19,33,8,10.43,3.19,5.02,False,False
18781749,5340,28/01/2017 14:49,28/01/2017 16:18,3023,3069,6193,One Way,Walk-up,1.21,54,88,7.69,4.95,8.65,False,True
22783727,300,21/03/2017 18:03,21/03/2017 18:08,3030,3082,6427,One Way,Walk-up,23.17,59,36,11.68,4.4,5.36,True,True
17945755,660,15/01/2017 11:41,15/01/2017 11:52,3038,3022,6016,One Way,Walk-up,14.06,44,64,7.36,3.79,6.32,True,True
20712270,360,25/02/2017 3:51,25/02/2017 3:57,3005,3055,6103,One Way,Walk-up,23.8,39,81,6.56,2.3,8.15,True,False
17434631,2280,07/01/2017 13:53,07/01/2017 14:31,3078,3007,6168,One Way,Walk-up,25.81,23,6,8.89,4.19,5.58,False,False
22098150,7380,14/03/2017 7:37,14/03/2017 9:40,3064,3000,6353,One Way,Monthly Pass,26.17,36,80,9.89,2.94,9.2,True,False
23006241,70260,23/03/2017 17:27,24/03/2017 12:58,3007,3000,6246,One Way,Monthly Pass,29.98,60,97,14.48,4.08,9.02,False,True
22202991,600,15/03/2017 12:27,15/03/2017 12:37,3038,3022,5866,One Way,Monthly Pass,14.53,65,42,13.36,2.61,6.75,False,True
18299262,480,21/01/2017 1:39,21/01/2017 1:47,3016,3066,6158,One Way,Monthly Pass,18.76,85,15,10.21,4.71,7.31,True,True
23087082,480,25/03/2017 11:20,25/03/2017 11:28,3049,3008,5761,One Way,Walk-up,15.13,34,71,9.75,3.4,9.66,True,False
22498322,900,18/03/2017 14:49,18/03/2017 15:04,3018,3082,6567,One Way,Walk-up,25.61,89,66,13.52,3.19,5.49,True,True
18073570,1440,17/01/2017 14:36,17/01/2017 15:00,3049,3074,6307,One Way,Walk-up,27.79,15,84,9.8,4.36,7.5,False,True
18010295,360,16/01/2017 12:56,16/01/2017 13:02,3063,3074,5855,One Way,Monthly Pass,2.7,27,37,13.35,2.9,5.98,False,True
19181786,480,02/02/2017 18:10,02/02/2017 18:18,3022,3037,5834,One Way,Walk-up,20.8,51,55,14.04,2.95,9.6,False,True
19639984,16080,08/02/2017 15:27,08/02/2017 19:55,3067,3000,6098,One Way,Monthly Pass,5.19,48,82,9.98,4.27,9.09,True,False
21617020,10920,08/03/2017 17:19,08/03/2017 20:21,3028,3000,6516,One Way,Walk-up,18.94,75,15,9.06,2.44,9.98,False,True
23639612,420,31/03/2017 17:53,31/03/2017 18:00,3068,3082,6120,One Way,Flex Pass,18.6,15,85,13.83,4.52,9.53,True,True
19100907,840,01/02/2017 18:47,01/02/2017 19:01,3027,3034,6649,One Way,Monthly Pass,21.12,45,98,7.39,4.26,6.74,True,True
21602238,7200,08/03/2017 13:11,08/03/2017 15:11,3038,3082,6020,One Way,Walk-up,16.16,88,50,6.14,1.86,5.69,True,False
19690056,1320,09/02/2017 14:45,09/02/2017 15:07,3005,3063,6644,One Way,Walk-up,11.43,96,29,6.99,3.48,5.67,True,True
20145267,11400,16/02/2017 7:50,16/02/2017 11:00,3034,3000,5756,One Way,Monthly Pass,26.51,77,85,10.18,3.24,7.35,False,False
18012897,10980,16/01/2017 11:39,16/01/2017 14:42,3065,3000,5873,One Way,Walk-up,3.35,65,80,13.5,0.42,7.87,False,False
22494577,53340,17/03/2017 23:27,18/03/2017 14:16,3063,3000,6521,One Way,Walk-up,25.8,78,37,14.03,4.38,5.8,True,False
17242897,5280,04/01/2017 8:07,04/01/2017 9:35,3042,3063,6496,One Way,Monthly Pass,19.19,83,12,9.17,4.19,7.81,True,False
10990870,12060,22/10/2016 11:45,22/10/2016 15:06,3032,3000,6461,One Way,Flex Pass,25.72,59,69,9.2,0.36,6.0,False,True
21348919,1200,05/03/2017 11:46,05/03/2017 12:06,3011,3063,5940,One Way,Walk-up,8.1,85,32,12.05,2.45,5.22,True,True
19006181,120,31/01/2017 16:35,31/01/2017 16:37,3056,3047,6247,One Way,Monthly Pass,5.07,42,49,8.67,4.69,6.07,True,False
23169089,4260,26/03/2017 9:04,26/03/2017 10:15,3039,3009,6166,One Way,Walk-up,28.3,79,15,6.16,2.87,7.72,True,True
19942311,240,13/02/2017 16:03,13/02/2017 16:07,3035,3034,6616,One Way,Monthly Pass,8.46,58,22,6.57,4.76,5.55,False,False
21889466,1200,12/03/2017 0:43,12/03/2017 1:03,3076,3029,6385,One Way,Walk-up,19.78,61,49,6.27,0.66,6.08,False,True
19013095,2100,31/01/2017 18:12,31/01/2017 18:47,3055,3000,6288,One Way,Monthly Pass,17.46,36,89,9.34,4.27,9.99,True,False
21937873,1560,12/03/2017 14:37,12/03/2017 15:03,3006,3000,6298,One Way,Walk-up,23.3,56,76,11.5,0.63,8.65,True,True
18853818,2280,29/01/2017 16:37,29/01/2017 17:15,3036,3036,6163,Round Trip,Walk-up,19.78,86,83,12.13,2.99,9.58,False,True
22510364,600,18/03/2017 18:12,18/03/2017 18:22,3023,3031,6446,One Way,Monthly Pass,9.05,26,25,14.38,2.28,7.48,True,False
23274018,1260,27/03/2017 15:25,27/03/2017 15:46,3006,3069,6290,One Way,Walk-up,5.46,95,87,7.29,1.95,9.45,False,True
18332441,840,21/01/2017 14:08,21/01/2017 14:22,3029,3048,6284,One Way,Walk-up,7.98,31,40,11.64,1.12,7.86,True,False
21930226,960,12/03/2017 12:59,12/03/2017 13:15,3038,3034,6389,One Way,Walk-up,13.51,26,43,11.17,1.97,8.22,False,True
22396707,3300,17/03/2017 12:52,17/03/2017 13:47,3034,3034,6260,Round Trip,Walk-up,27.93,97,68,6.47,3.24,5.57,True,True
19837292,420,11/02/2017 22:56,11/02/2017 23:03,3005,3063,6374,One Way,Walk-up,16.38,75,93,8.81,3.44,9.81,True,True
20507980,660,21/02/2017 17:08,21/02/2017 17:19,3076,3014,5859,One Way,Monthly Pass,22.14,16,79,12.12,0.37,6.88,True,False
22290387,1200,16/03/2017 9:50,16/03/2017 10:10,3032,3030,6107,One Way,Flex Pass,23.71,62,90,13.85,3.8,5.9,False,True
22923528,480,23/03/2017 11:47,23/03/2017 11:55,3042,3027,6525,One Way,Monthly Pass,0.57,15,10,14.65,0.67,8.36,True,True
18789632,1440,28/01/2017 18:57,28/01/2017 19:21,3046,3055,6080,One Way,Walk-up,15.55,35,46,11.71,2.08,7.96,True,False
21796017,1260,11/03/2017 0:17,11/03/2017 0:38,3048,3048,6297,Round Trip,Walk-up,11.35,29,38,12.01,4.28,8.65,True,True
18767223,840,28/01/2017 10:03,28/01/2017 10:17,3075,3075,6188,Round Trip,Walk-up,11.92,28,18,12.85,1.32,7.12,True,False
18209917,9000,19/01/2017 15:06,19/01/2017 17:36,3014,3000,5924,One Way,Monthly Pass,28.09,15,54,7.88,3.77,7.38,False,True
17708234,1860,11/01/2017 15:39,11/01/2017 16:10,3008,3068,5914,One Way,Walk-up,20.71,84,59,12.33,1.29,8.76,False,False
20449945,23700,20/02/2017 10:30,20/02/2017 17:05,3030,3000,5715,One Way,Walk-up,20.31,10,52,8.73,0.65,5.95,False,True
21289774,240,04/03/2017 18:49,04/03/2017 18:53,3031,3064,6480,One Way,Monthly Pass,11.8,65,52,13.11,4.91,7.65,False,True
20911624,720,27/02/2017 19:32,27/02/2017 19:44,3031,3026,6462,One Way,Walk-up,8.63,24,15,14.48,3.26,5.45,False,False
19013086,480,31/01/2017 18:19,31/01/2017 18:27,3082,3000,6441,One Way,Walk-up,29.41,26,26,11.4,2.51,9.88,False,False
18363642,120,22/01/2017 0:31,22/01/2017 0:33,3006,3031,5933,One Way,Monthly Pass,20.35,68,59,13.42,2.79,8.33,True,True
19873472,1320,12/02/2017 14:03,12/02/2017 14:25,3078,3062,6166,One Way,Walk-up,14.68,37,37,13.36,4.66,8.91,False,False
18958449,1740,31/01/2017 1:26,31/01/2017 1:55,3065,3030,6285,One Way,Monthly Pass,21.77,95,64,5.44,1.67,9.6,True,True
21681117,2580,09/03/2017 15:22,09/03/2017 16:05,3011,3063,6278,One Way,Walk-up,7.69,60,28,14.09,1.44,9.79,False,True
22314602,720,16/03/2017 15:55,16/03/2017 16:07,3032,3056,5860,One Way,Walk-up,1.88,62,46,6.37,1.75,8.81,False,True
23519941,300,30/03/2017 8:51,30/03/2017 8:56,3069,3075,5973,One Way,Monthly Pass,14.6,38,95,9.01,2.98,7.62,False,False
18338464,1500,21/01/2017 15:42,21/01/2017 16:07,3031,3036,5957,One Way,Walk-up,7.36,56,54,14.54,3.3,6.16,False,False
19505792,660,06/02/2017 16:51,06/02/2017 17:02,3007,3000,6244,One Way,Monthly Pass,25.71,33,97,10.46,2.38,5.44,False,True
17766376,480,12/01/2017 12:55,12/01/2017 13:03,3082,3069,5977,One Way,Monthly Pass,5.11,43,33,6.58,2.99,9.54,True,False
14792947,23100,30/11/2016 14:47,30/11/2016 21:12,3048,3000,5817,One Way,Monthly Pass,22.81,64,52,10.9,4.63,9.46,True,False
21527196,600,07/03/2017 17:17,07/03/2017 17:27,3025,3074,6277,One Way,Walk-up,23.16,69,18,8.82,4.74,7.16,False,True
20879191,300,27/02/2017 9:21,27/02/2017 9:26,3035,3018,6653,One Way,Monthly Pass,0.87,38,13,12.33,1.54,9.67,False,False
23359841,240,28/03/2017 14:49,28/03/2017 14:53,3031,3075,5731,One Way,Monthly Pass,11.45,69,14,9.23,2.0,6.71,False,False
19255885,720,03/02/2017 13:59,03/02/2017 14:11,3068,3048,6403,One Way,Monthly Pass,25.24,88,55,12.58,4.85,6.25,False,True
17995950,28560,15/01/2017 23:36,16/01/2017 7:32,3055,3000,5998,One Way,Monthly Pass,8.79,31,34,14.73,1.88,5.68,True,True
17825407,780,13/01/2017 11:54,13/01/2017 12:07,3014,3058,6082,One Way,Walk-up,13.53,47,67,8.56,0.88,5.34,True,True
21934003,780,12/03/2017 14:44,12/03/2017 14:57,3000,3064,6466,One Way,Monthly Pass,24.39,35,16,12.6,2.98,8.04,True,False
18853796,1140,29/01/2017 17:05,29/01/2017 17:24,3066,3081,6185,One Way,Walk-up,1.1,21,91,6.41,2.58,7.02,True,False
17174480,480,03/01/2017 0:34,03/01/2017 0:42,3037,3055,6262,One Way,Monthly Pass,29.14,27,48,5.07,2.59,9.71,False,False
23194465,2400,26/03/2017 17:05,26/03/2017 17:45,3077,3051,6427,One Way,Walk-up,6.5,16,33,5.72,4.39,7.96,True,False
18631105,6060,26/01/2017 4:48,26/01/2017 6:29,3047,3000,6478,One Way,Monthly Pass,7.38,66,14,9.12,2.82,8.52,True,False
21616891,1260,08/03/2017 20:12,08/03/2017 20:33,3049,3082,6494,One Way,Walk-up,22.41,89,11,9.84,1.98,8.04,False,False
18324184,1080,21/01/2017 11:26,21/01/2017 11:44,3031,3022,5785,One Way,Walk-up,5.46,52,6,14.41,2.72,6.87,False,True
20507975,1140,21/02/2017 17:18,21/02/2017 17:37,3022,3031,5838,One Way,Walk-up,15.14,29,92,6.35,3.12,7.02,True,True
17216402,1260,03/01/2017 18:21,03/01/2017 18:42,3033,3048,6436,One Way,Walk-up,14.55,81,78,7.63,3.07,8.71,True,True
20013191,180,14/02/2017 16:13,14/02/2017 16:16,3005,3008,5909,One Way,Walk-up,8.61,56,41,9.87,4.4,6.05,True,True
21366079,79740,04/03/2017 19:39,05/03/2017 17:48,3064,3000,6104,One Way,Walk-up,10.32,57,63,12.95,4.35,9.51,False,True
17566290,660,09/01/2017 13:02,09/01/2017 13:13,3064,3047,6398,One Way,Monthly Pass,5.42,30,40,10.75,2.29,6.19,True,True
20908264,420,27/02/2017 17:55,27/02/2017 18:02,3068,3042,6081,One Way,Monthly Pass,29.66,83,67,14.4,1.71,8.69,True,True
18721104,660,27/01/2017 16:30,27/01/2017 16:41,3007,3032,6118,One Way,Walk-up,27.54,57,36,12.69,1.88,6.43,True,True
23183212,4140,26/03/2017 13:08,26/03/2017 14:17,3009,3039,5923,One Way,Walk-up,13.24,83,65,12.91,1.23,7.1,True,False
20669954,1680,24/02/2017 11:38,24/02/2017 12:06,3082,3082,5826,Round Trip,Walk-up,18.87,34,28,13.42,1.73,8.56,False,True
18187061,360,19/01/2017 9:48,19/01/2017 9:54,3034,3005,6008,One Way,Monthly Pass,1.09,61,92,5.09,3.44,7.72,False,False
21119679,600,02/03/2017 13:34,02/03/2017 13:44,3052,3055,5975,One Way,Walk-up,9.55,60,73,12.83,3.24,5.98,False,True
19687363,840,09/02/2017 14:36,09/02/2017 14:50,3037,3055,6529,One Way,Walk-up,13.01,36,73,11.63,4.12,5.66,True,False
23652454,11460,31/03/2017 18:20,31/03/2017 21:31,3082,3000,5958,One Way,Walk-up,17.19,94,69,8.24,0.88,9.83,False,False
18774264,780,28/01/2017 13:23,28/01/2017 13:36,3022,3082,6685,One Way,Walk-up,9.08,88,61,11.5,4.61,9.87,True,True
18924375,840,30/01/2017 15:18,30/01/2017 15:32,3074,3062,6293,One Way,Monthly Pass,1.09,26,44,10.93,0.41,6.46,False,True
22531074,360,18/03/2017 23:50,18/03/2017 23:56,3006,3031,5731,One Way,Walk-up,14.6,21,84,13.02,4.65,7.86,False,False
18826651,1200,29/01/2017 7:40,29/01/2017 8:00,3005,3036,6616,One Way,Flex Pass,10.59,20,72,13.33,2.91,5.81,True,False
17096051,1440,01/01/2017 16:15,01/01/2017 16:39,3063,3063,5817,Round Trip,Walk-up,12.88,31,74,10.04,1.62,6.62,False,True
23285782,35700,27/03/2017 8:22,27/03/2017 18:17,3031,3000,5809,One Way,Monthly Pass,1.59,23,62,7.67,0.34,7.25,False,True
23263231,67560,26/03/2017 17:41,27/03/2017 12:27,3074,3000,6005,One Way,Walk-up,14.88,88,51,5.26,0.74,5.67,True,True
22910298,3720,23/03/2017 6:14,23/03/2017 7:16,3051,3000,5764,One Way,Monthly Pass,12.87,54,99,7.79,0.95,8.84,False,True
18726976,780,27/01/2017 17:53,27/01/2017 18:06,3067,3038,5845,One Way,Monthly Pass,15.84,14,50,7.86,4.26,5.81,True,True
19108820,1560,01/02/2017 20:48,01/02/2017 21:14,3037,3051,6434,One Way,Walk-up,4.09,25,97,14.8,2.36,5.53,True,True
17359784,11820,06/01/2017 6:47,06/01/2017 10:04,3051,3000,6423,One Way,Monthly Pass,25.1,60,37,13.64,4.49,5.16,True,False
20541356,46080,21/02/2017 19:39,22/02/2017 8:27,3034,3000,5830,One Way,Monthly Pass,26.05,27,81,10.75,3.21,8.93,True,False
17270238,240,04/01/2017 20:47,04/01/2017 20:51,3031,3005,5908,One Way,Monthly Pass,15.12,46,57,14.74,4.91,7.58,False,True
19634350,600,08/02/2017 17:03,08/02/2017 17:13,3058,3079,6511,One Way,Monthly Pass,22.51,11,47,9.95,0.6,9.1,False,False
22545888,360,19/03/2017 3:14,19/03/2017 3:20,3005,3031,5719,One Way,Monthly Pass,26.9,62,98,5.53,1.73,7.33,True,True
17575143,10920,09/01/2017 13:51,09/01/2017 16:53,3038,3000,6033,One Way,Walk-up,11.21,97,29,11.46,2.28,5.64,False,False
19892101,11100,12/02/2017 18:48,12/02/2017 21:53,3082,3000,6120,One Way,Walk-up,27.03,23,35,11.48,0.69,7.13,True,False
21788482,420,10/03/2017 22:04,10/03/2017 22:11,3024,3065,6300,One Way,Walk-up,18.7,50,80,12.96,2.92,7.31,True,False
22847260,1200,22/03/2017 12:51,22/03/2017 13:11,3036,3022,6516,One Way,Walk-up,18.46,44,32,5.34,0.85,8.81,False,True
18025908,780,16/01/2017 19:15,16/01/2017 19:28,3014,3037,6024,One Way,Flex Pass,17.0,40,99,12.89,0.79,7.01,True,False
18784273,600,28/01/2017 16:53,28/01/2017 17:03,3069,3075,5939,One Way,Walk-up,22.66,51,28,6.21,0.92,7.82,False,True
18160516,1380,18/01/2017 22:46,18/01/2017 23:09,3018,3051,6685,One Way,Walk-up,9.82,14,86,5.49,0.59,5.64,False,True
19945231,480,13/02/2017 17:23,13/02/2017 17:31,3022,3027,6575,One Way,Monthly Pass,26.65,97,87,14.27,4.44,7.43,False,False
22506314,300,18/03/2017 16:58,18/03/2017 17:03,3018,3031,6687,One Way,Monthly Pass,15.87,64,47,10.79,1.87,8.86,True,True
23190646,1740,26/03/2017 16:08,26/03/2017 16:37,3038,3030,5900,One Way,Walk-up,1.98,19,96,9.92,3.24,8.33,True,True
18081670,300,17/01/2017 17:40,17/01/2017 17:45,3051,3032,5979,One Way,Monthly Pass,7.55,69,73,12.23,2.54,8.03,False,False
17691939,1320,11/01/2017 10:32,11/01/2017 10:54,3022,3000,5833,One Way,Monthly Pass,22.32,39,92,10.05,4.65,5.8,False,False
23363759,5280,28/03/2017 13:44,28/03/2017 15:12,3030,3000,6527,One Way,Walk-up,27.47,17,67,10.51,2.39,6.03,False,False
23607494,60,31/03/2017 8:06,31/03/2017 8:07,3000,3000,6324,Round Trip,Monthly Pass,24.88,11,86,12.18,1.65,7.46,False,False
20816459,3000,26/02/2017 12:52,26/02/2017 13:42,3016,3042,5860,One Way,Walk-up,6.31,85,38,6.26,3.91,9.02,False,True
19521969,720,06/02/2017 22:10,06/02/2017 22:22,3036,3031,6626,One Way,Walk-up,8.98,96,26,14.78,1.71,5.87,True,True
20882338,1980,27/02/2017 9:39,27/02/2017 10:12,3082,3000,5830,One Way,Flex Pass,22.42,29,7,8.62,3.74,9.03,False,True
21527204,480,07/03/2017 17:05,07/03/2017 17:13,3031,3008,6353,One Way,Monthly Pass,15.24,47,71,5.46,1.5,9.47,True,False
17249849,900,04/01/2017 12:10,04/01/2017 12:25,3037,3022,6510,One Way,Walk-up,9.33,50,68,12.23,4.5,8.11,False,True
17702688,2580,11/01/2017 13:45,11/01/2017 14:28,3028,3069,5832,One Way,Walk-up,5.52,87,64,7.61,4.06,9.57,True,True
21153840,480,02/03/2017 23:43,02/03/2017 23:51,3030,3055,5957,One Way,Walk-up,17.58,72,44,8.53,2.61,5.82,True,False
18092902,480,17/01/2017 21:25,17/01/2017 21:33,3067,3067,6582,Round Trip,Walk-up,0.36,87,26,5.54,3.92,5.27,False,True
23456900,1380,29/03/2017 16:00,29/03/2017 16:23,3054,3033,6619,One Way,Walk-up,4.74,53,91,6.6,1.95,7.47,True,True
18319041,660,21/01/2017 9:33,21/01/2017 9:44,3022,3069,6377,One Way,Walk-up,18.36,85,73,8.23,4.59,9.35,False,True
21820879,1560,11/03/2017 6:53,11/03/2017 7:19,3058,3054,5900,One Way,Walk-up,24.45,39,29,5.12,2.88,8.05,True,True
19572784,300,07/02/2017 17:31,07/02/2017 17:36,3038,3042,6497,One Way,Monthly Pass,1.11,76,49,7.7,4.56,5.47,True,False
21199498,1200,03/03/2017 13:47,03/03/2017 14:07,3060,3081,6043,One Way,Walk-up,9.26,39,63,11.14,4.16,9.55,True,False
23375569,780,28/03/2017 18:10,28/03/2017 18:23,3077,3082,6475,One Way,Walk-up,18.98,48,85,9.22,0.66,7.72,False,True
23429505,240,29/03/2017 9:20,29/03/2017 9:24,3076,3006,6623,One Way,Monthly Pass,29.12,36,98,6.89,4.28,9.99,True,False
21063394,11040,01/03/2017 16:32,01/03/2017 19:36,3078,3000,6130,One Way,Walk-up,27.38,68,39,10.68,3.33,5.99,False,True
19419599,540,05/02/2017 14:08,05/02/2017 14:17,3029,3006,6718,One Way,Walk-up,3.51,33,19,13.31,4.45,7.72,True,False
19873468,1380,12/02/2017 14:15,12/02/2017 14:38,3042,3059,6331,One Way,Walk-up,3.74,44,14,7.93,4.52,7.24,True,True
22090688,360,14/03/2017 7:40,14/03/2017 7:46,3074,3076,6421,One Way,Monthly Pass,3.29,21,62,11.12,4.46,10.0,True,False
19779641,1080,10/02/2017 23:46,11/02/2017 0:04,3037,3048,6290,One Way,Walk-up,12.85,33,75,6.92,4.94,7.68,True,False
19922879,480,13/02/2017 9:19,13/02/2017 9:27,3049,3005,5904,One Way,Flex Pass,2.52,35,66,6.46,3.14,8.47,False,False
17449015,11220,07/01/2017 15:54,07/01/2017 19:01,3014,3000,5738,One Way,Walk-up,20.32,69,20,13.3,1.84,5.53,True,False
16189278,360,17/12/2016 16:36,17/12/2016 16:42,3023,3000,6039,One Way,Monthly Pass,19.25,66,49,10.25,1.63,7.83,False,False
23009273,720,24/03/2017 13:44,24/03/2017 13:56,3030,3064,5829,One Way,Monthly Pass,26.13,12,15,11.53,2.21,5.9,True,True
21345757,54960,04/03/2017 20:35,05/03/2017 11:51,3008,3000,6009,One Way,Walk-up,9.85,17,97,9.98,4.16,8.68,False,True
20610168,420,23/02/2017 13:12,23/02/2017 13:19,3064,3000,6315,One Way,Monthly Pass,14.23,88,56,9.41,2.85,7.75,False,True
20987798,240,28/02/2017 19:00,28/02/2017 19:04,3069,3062,6499,One Way,Monthly Pass,14.05,97,5,11.14,2.13,5.57,False,False
19611484,360,08/02/2017 8:06,08/02/2017 8:12,3042,3063,6439,One Way,Monthly Pass,8.27,89,43,9.14,3.29,7.52,True,False
23009308,1020,24/03/2017 12:46,24/03/2017 13:03,3030,3078,6073,One Way,Flex Pass,27.54,68,48,7.93,4.75,7.66,True,True
22396708,3060,17/03/2017 12:52,17/03/2017 13:43,3038,3038,6582,Round Trip,Walk-up,13.0,27,60,7.23,3.72,7.62,True,False
