id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed,profile_collection_moment,latest_profile_change
id_20274,56,management,married,tertiary,no,4608.0,no,no,telephone,1,sep,208.0,2.0,189.0,2,failure,0,01/02/2018,12/01/2020
id_20926,34,entrepreneur,married,secondary,no,3115.0,yes,no,cellular,20,nov,506.0,1.0,183.0,4,failure,0,12/01/2018,03/04/2019
id_30553,40,technician,divorced,secondary,no,1335.0,yes,yes,cellular,29,jan,566.0,2.0,246.0,1,failure,0,08/06/2018,23/03/2020
id_1786,48,services,single,secondary,no,518.0,yes,no,cellular,13,may,358.0,1.0,363.0,1,failure,0,13/09/2018,22/04/2020
id_18991,27,admin.,single,secondary,no,68.0,yes,no,cellular,14,may,450.0,1.0,339.0,3,failure,0,26/03/2018,28/12/2020
id_2017,31,management,married,tertiary,no,5879.0,no,no,cellular,23,oct,450.0,1.0,430.0,2,failure,1,10/02/2018,27/11/2019
id_7180,52,technician,married,secondary,no,195.0,yes,no,cellular,17,dec,113.0,2.0,205.0,3,failure,0,07/06/2018,29/11/2020
id_432,34,admin.,single,tertiary,no,1535.0,yes,no,cellular,15,may,45.0,1.0,352.0,5,failure,0,11/07/2018,06/07/2019
id_29060,35,services,single,secondary,no,774.0,yes,no,cellular,3,feb,227.0,2.0,259.0,1,failure,0,16/01/2018,06/02/2020
id_24467,38,management,married,secondary,no,1958.0,no,no,cellular,4,may,119.0,6.0,168.0,11,other,0,26/04/2018,23/09/2020
id_29835,31,blue-collar,divorced,secondary,no,876.0,yes,yes,cellular,29,jan,265.0,3.0,239.0,1,failure,0,20/08/2018,27/12/2019
id_5003,21,student,single,secondary,no,4127.0,no,no,cellular,5,apr,916.0,4.0,185.0,7,failure,1,11/03/2018,19/09/2019
id_6569,32,management,married,tertiary,no,1331.0,no,no,cellular,3,feb,199.0,2.0,90.0,1,success,1,16/02/2018,27/11/2020
id_25792,56,admin.,married,unknown,no,0.0,yes,no,cellular,17,nov,206.0,1.0,186.0,2,failure,0,14/04/2018,06/12/2020
id_31092,46,self-employed,married,secondary,no,1563.0,no,no,cellular,24,dec,532.0,3.0,133.0,3,failure,0,19/02/2018,15/11/2020
id_30943,45,management,divorced,tertiary,no,542.0,yes,no,cellular,14,may,67.0,1.0,363.0,2,other,0,12/01/2018,15/08/2019
id_20139,61,admin.,married,secondary,no,3739.0,no,no,cellular,22,sep,178.0,1.0,184.0,11,success,1,19/10/2018,01/07/2020
id_1854,49,admin.,married,secondary,no,424.0,yes,yes,cellular,20,oct,132.0,2.0,96.0,7,failure,0,03/04/2018,03/03/2019
id_25001,40,services,married,secondary,no,434.0,yes,no,cellular,15,may,426.0,6.0,175.0,3,other,0,11/06/2018,07/07/2019
id_17733,32,management,single,tertiary,no,3772.0,yes,no,cellular,9,feb,67.0,4.0,258.0,1,failure,0,23/08/2018,06/01/2020
id_17544,59,technician,married,secondary,no,134.0,yes,no,telephone,16,nov,436.0,13.0,96.0,1,other,0,14/08/2018,30/07/2019
id_24388,31,blue-collar,single,secondary,no,1033.0,yes,yes,cellular,16,apr,335.0,2.0,321.0,2,failure,0,06/07/2018,10/10/2020
id_24468,26,management,married,tertiary,no,245.0,yes,no,cellular,31,mar,354.0,2.0,257.0,1,other,0,15/09/2018,10/12/2019
id_10179,31,entrepreneur,married,tertiary,no,280.0,yes,no,telephone,20,apr,37.0,5.0,349.0,2,failure,0,03/02/2018,29/07/2020
id_11522,33,management,married,tertiary,no,3297.0,yes,no,cellular,17,jun,471.0,2.0,227.0,4,failure,1,04/12/2018,05/07/2020
id_4391,54,technician,married,secondary,no,2312.0,yes,no,cellular,8,may,283.0,3.0,364.0,2,failure,0,03/05/2018,26/01/2019
id_3135,34,self-employed,divorced,tertiary,no,1356.0,yes,no,cellular,14,may,1738.0,1.0,356.0,2,success,1,09/05/2018,02/06/2019
id_4355,30,management,married,tertiary,no,352.0,yes,no,cellular,8,apr,73.0,2.0,289.0,2,other,0,01/03/2018,17/01/2020
id_9698,36,technician,single,secondary,no,25.0,yes,no,cellular,18,may,75.0,2.0,333.0,2,failure,0,08/04/2018,12/06/2020
id_9623,37,management,married,tertiary,no,2374.0,yes,yes,cellular,20,jul,183.0,2.0,215.0,6,other,0,14/01/2018,13/10/2020
id_13059,39,unemployed,single,secondary,no,358.0,yes,no,cellular,4,may,234.0,2.0,339.0,2,failure,0,02/06/2018,02/06/2019
id_13306,32,services,married,secondary,no,1804.0,yes,no,telephone,6,feb,129.0,1.0,274.0,2,failure,0,12/04/2018,10/04/2019
id_9403,29,services,single,secondary,no,1.0,yes,no,cellular,18,may,127.0,6.0,363.0,9,failure,0,04/02/2018,05/12/2019
id_20894,60,management,divorced,tertiary,no,5697.0,no,no,cellular,30,apr,370.0,1.0,87.0,1,success,1,06/06/2018,13/09/2020
id_631,78,retired,married,secondary,no,8303.0,no,no,telephone,9,jun,730.0,1.0,64.0,12,failure,1,11/06/2018,15/04/2019
id_41826,31,blue-collar,single,secondary,no,565.0,yes,no,cellular,7,may,280.0,2.0,342.0,4,other,0,06/12/2018,27/12/2019
id_24245,30,admin.,married,secondary,no,410.0,yes,no,cellular,20,apr,83.0,3.0,341.0,2,failure,0,17/02/2018,18/06/2019
id_33480,58,admin.,single,secondary,no,473.0,no,no,cellular,5,feb,179.0,2.0,8.0,1,other,0,10/10/2018,11/02/2019
id_12611,55,management,single,tertiary,no,1091.0,yes,yes,cellular,17,nov,165.0,3.0,186.0,4,failure,0,08/03/2018,13/01/2020
id_14627,34,technician,divorced,secondary,no,3068.0,yes,yes,cellular,20,nov,371.0,2.0,195.0,1,other,0,02/07/2018,15/06/2019
id_15181,25,blue-collar,single,secondary,no,156.0,yes,no,cellular,18,may,996.0,2.0,356.0,2,failure,0,26/02/2018,07/02/2019
id_21077,43,blue-collar,married,secondary,no,1144.0,yes,no,cellular,8,feb,363.0,2.0,129.0,3,other,1,11/08/2018,29/09/2019
id_1491,29,unemployed,divorced,secondary,no,1147.0,yes,no,cellular,8,may,83.0,2.0,367.0,1,failure,0,26/09/2018,05/07/2020
id_37763,31,management,single,tertiary,no,984.0,yes,no,cellular,25,oct,311.0,1.0,94.0,2,success,1,02/06/2018,08/09/2019
id_4695,33,services,single,secondary,no,418.0,yes,no,cellular,20,apr,5.0,5.0,319.0,2,other,0,11/05/2018,24/10/2019
id_1895,33,technician,married,secondary,no,804.0,no,no,cellular,19,jul,261.0,3.0,458.0,1,success,1,17/12/2018,27/05/2020
id_383,33,technician,single,tertiary,no,143.0,yes,yes,cellular,21,jul,224.0,3.0,89.0,16,failure,0,14/05/2018,21/07/2019
id_36505,31,admin.,single,secondary,no,5.0,yes,no,cellular,15,may,950.0,2.0,368.0,2,failure,1,29/01/2018,27/03/2020
id_19867,47,technician,divorced,secondary,no,-4.0,no,no,cellular,29,sep,165.0,1.0,120.0,2,failure,1,20/11/2018,03/08/2020
id_34191,38,admin.,married,secondary,no,52.0,yes,yes,cellular,27,apr,109.0,1.0,329.0,4,other,0,22/04/2018,22/07/2019
id_20420,31,admin.,single,secondary,no,2077.0,no,yes,cellular,18,nov,190.0,1.0,127.0,7,other,0,23/06/2018,16/12/2019
id_21909,51,technician,married,secondary,no,897.0,no,yes,cellular,17,nov,62.0,1.0,145.0,1,other,0,29/10/2018,12/03/2020
id_961,33,services,single,secondary,no,311.0,yes,no,cellular,12,may,72.0,2.0,371.0,1,failure,0,19/09/2018,19/04/2019
id_33092,46,blue-collar,married,secondary,no,637.0,yes,no,cellular,12,mar,226.0,1.0,182.0,4,success,1,15/08/2018,02/03/2020
id_37445,44,management,married,tertiary,no,147.0,yes,no,cellular,29,jan,488.0,1.0,220.0,2,success,0,27/09/2018,18/04/2020
id_24437,25,blue-collar,married,secondary,no,-42.0,yes,no,cellular,15,may,196.0,1.0,364.0,3,other,0,10/04/2018,04/08/2019
id_1323,47,blue-collar,married,primary,no,884.0,yes,no,cellular,14,may,144.0,1.0,370.0,2,failure,0,03/10/2018,07/10/2020
id_13053,36,management,married,secondary,no,334.0,yes,no,cellular,12,may,286.0,1.0,354.0,1,failure,0,18/09/2018,22/03/2019
id_3576,41,blue-collar,married,secondary,no,3.0,yes,no,telephone,20,nov,52.0,1.0,190.0,1,failure,0,10/09/2018,28/07/2019
id_9995,72,retired,divorced,secondary,no,0.0,no,no,cellular,26,feb,767.0,1.0,171.0,1,success,1,17/04/2018,17/06/2019
id_27387,33,management,single,tertiary,no,21.0,yes,no,cellular,20,apr,761.0,2.0,150.0,3,other,0,15/06/2018,23/08/2019
id_12161,39,management,married,tertiary,no,412.0,no,no,cellular,13,apr,237.0,1.0,179.0,2,failure,1,24/08/2018,13/10/2020
id_34738,40,unemployed,married,primary,no,7003.0,yes,no,cellular,28,jul,439.0,2.0,184.0,3,success,1,31/01/2018,27/09/2019
id_7042,36,entrepreneur,married,tertiary,no,268.0,yes,yes,cellular,20,nov,287.0,1.0,157.0,1,failure,0,26/11/2018,21/02/2020
id_21184,52,management,divorced,tertiary,no,5252.0,yes,yes,cellular,20,apr,385.0,1.0,287.0,19,failure,0,25/07/2018,03/09/2019
id_12698,29,management,married,tertiary,no,354.0,yes,no,cellular,13,apr,202.0,2.0,228.0,5,failure,0,13/01/2018,09/02/2020
id_7289,34,management,single,tertiary,no,2.0,no,no,cellular,7,jul,110.0,1.0,159.0,1,other,0,22/09/2018,12/02/2019
id_13419,46,services,married,secondary,no,48.0,yes,yes,cellular,2,feb,92.0,1.0,262.0,1,failure,0,23/10/2018,27/03/2020
id_21658,38,blue-collar,married,secondary,no,324.0,no,no,cellular,14,apr,128.0,2.0,337.0,2,failure,0,24/04/2018,20/06/2019
id_38468,45,blue-collar,married,secondary,no,82.0,yes,no,cellular,20,apr,35.0,3.0,279.0,5,other,0,11/10/2018,06/10/2019
id_42243,31,management,married,tertiary,no,4.0,yes,no,cellular,9,mar,291.0,1.0,326.0,1,success,1,04/12/2018,13/10/2020
id_43027,35,management,married,tertiary,no,94.0,yes,no,cellular,25,may,58.0,1.0,272.0,4,failure,0,06/06/2018,29/12/2020
id_11184,41,self-employed,married,tertiary,no,2976.0,yes,no,cellular,19,nov,362.0,1.0,125.0,1,failure,0,24/06/2018,14/06/2019
id_34994,46,management,married,tertiary,no,1806.0,yes,no,cellular,1,jun,205.0,1.0,95.0,1,success,1,09/06/2018,15/10/2019
id_36812,44,management,married,tertiary,no,1331.0,yes,yes,cellular,27,may,75.0,2.0,309.0,1,failure,0,04/09/2018,24/11/2019
id_19330,41,admin.,divorced,secondary,no,-606.0,yes,no,cellular,8,may,347.0,2.0,353.0,2,failure,0,23/07/2018,20/11/2020
id_28426,33,services,married,secondary,no,2084.0,yes,no,cellular,4,may,181.0,3.0,355.0,2,other,0,05/12/2018,19/08/2019
id_19237,45,blue-collar,married,secondary,no,421.0,yes,yes,cellular,5,feb,140.0,2.0,177.0,2,failure,0,08/08/2018,05/07/2019
id_751,73,retired,married,primary,no,-5.0,no,no,cellular,28,jun,344.0,6.0,94.0,6,failure,0,17/07/2018,09/03/2020
id_552,39,admin.,married,secondary,no,3126.0,yes,no,cellular,30,dec,110.0,3.0,232.0,2,failure,0,03/05/2018,03/12/2019
id_19511,28,unemployed,married,secondary,no,288.0,yes,no,cellular,6,may,279.0,2.0,342.0,2,failure,0,19/03/2018,20/12/2020
id_21940,45,blue-collar,married,primary,no,2957.0,yes,no,cellular,16,apr,562.0,1.0,317.0,2,failure,0,12/08/2018,30/01/2019
id_11444,40,management,single,tertiary,no,758.0,no,no,cellular,22,feb,554.0,1.0,189.0,1,failure,1,11/05/2018,17/03/2019
id_34809,36,management,married,tertiary,no,1803.0,no,no,cellular,20,oct,79.0,1.0,336.0,1,failure,0,20/02/2018,15/01/2019
id_42699,38,management,married,tertiary,no,1114.0,no,no,cellular,2,mar,230.0,1.0,182.0,1,success,1,19/10/2018,23/10/2019
id_41168,23,technician,single,secondary,no,1868.0,no,no,cellular,2,aug,1013.0,3.0,276.0,2,other,0,14/01/2018,11/02/2020
id_9552,52,entrepreneur,divorced,tertiary,no,78.0,yes,no,cellular,6,may,168.0,5.0,352.0,3,failure,0,11/07/2018,14/12/2019
id_21687,63,blue-collar,married,secondary,no,272.0,no,no,cellular,29,oct,302.0,1.0,269.0,1,failure,0,04/02/2018,26/08/2019
id_24181,60,retired,married,primary,no,1717.0,no,no,cellular,12,nov,139.0,1.0,463.0,5,failure,0,06/07/2018,07/10/2020
id_3681,35,services,married,secondary,no,1543.0,yes,no,cellular,22,may,295.0,1.0,10.0,6,failure,1,21/07/2018,13/09/2020
id_17355,54,admin.,married,secondary,no,9332.0,no,no,cellular,22,jun,138.0,1.0,95.0,1,failure,0,02/12/2018,11/12/2019
id_12882,48,technician,married,secondary,no,-58.0,yes,yes,cellular,11,may,489.0,1.0,343.0,2,failure,0,25/07/2018,27/04/2019
id_44602,41,technician,married,secondary,no,60.0,yes,yes,cellular,29,jan,175.0,1.0,247.0,1,failure,0,28/06/2018,20/05/2020
id_28142,59,management,married,tertiary,no,284.0,yes,no,cellular,20,apr,809.0,2.0,242.0,8,failure,0,12/01/2018,18/11/2020
id_28209,42,management,married,secondary,no,441.0,yes,no,telephone,8,may,44.0,3.0,303.0,1,failure,0,15/03/2018,06/02/2019
id_33355,39,services,married,secondary,no,4396.0,no,no,cellular,18,nov,38.0,2.0,110.0,2,failure,0,31/08/2018,16/11/2020
id_40799,33,management,single,tertiary,no,-1.0,yes,no,cellular,7,may,42.0,1.0,22.0,2,failure,0,09/11/2018,18/11/2020
id_39343,38,management,single,tertiary,no,-51.0,yes,no,cellular,12,may,308.0,2.0,350.0,1,failure,0,13/01/2018,05/08/2019
id_4472,60,retired,married,secondary,no,571.0,no,no,cellular,4,feb,82.0,5.0,184.0,1,success,1,10/07/2018,02/01/2020
id_6607,43,services,divorced,secondary,no,376.0,yes,yes,cellular,4,feb,621.0,2.0,274.0,2,failure,0,19/12/2018,21/04/2020
id_2185,40,blue-collar,married,primary,no,188.0,yes,no,telephone,14,may,370.0,3.0,371.0,1,failure,0,04/12/2018,12/03/2019
id_16184,49,blue-collar,married,primary,no,3027.0,yes,no,cellular,12,may,209.0,2.0,259.0,3,other,0,04/08/2018,18/05/2020
id_24719,47,technician,divorced,secondary,no,1307.0,yes,no,cellular,19,nov,308.0,1.0,170.0,2,failure,0,12/08/2018,13/04/2020
id_34259,37,technician,married,secondary,no,1264.0,yes,no,cellular,17,nov,336.0,1.0,172.0,1,failure,0,27/09/2018,11/10/2020
id_19455,28,admin.,single,secondary,no,423.0,yes,yes,cellular,7,may,44.0,1.0,345.0,2,failure,0,19/06/2018,02/04/2019
id_30030,39,blue-collar,married,primary,no,2273.0,yes,no,cellular,18,nov,258.0,1.0,112.0,2,failure,0,18/08/2018,11/02/2020
id_11704,26,blue-collar,single,tertiary,no,453.0,no,no,telephone,27,may,232.0,2.0,36.0,1,success,1,24/11/2018,23/02/2020
id_6477,28,technician,married,secondary,no,-2.0,yes,yes,cellular,28,jan,62.0,1.0,223.0,9,other,0,29/08/2018,22/05/2020
id_4872,31,management,married,tertiary,no,1430.0,no,no,cellular,20,nov,91.0,3.0,104.0,3,failure,0,24/03/2018,18/09/2019
id_18267,67,retired,divorced,secondary,no,4185.0,no,no,cellular,18,oct,122.0,4.0,96.0,2,success,0,28/07/2018,15/08/2019
id_41122,42,blue-collar,married,secondary,no,2069.0,yes,no,cellular,11,may,219.0,4.0,325.0,4,failure,0,12/10/2018,09/02/2019
id_39925,40,blue-collar,married,primary,no,262.0,yes,no,cellular,8,may,10.0,1.0,366.0,1,failure,0,25/09/2018,10/07/2019
id_43273,53,admin.,single,secondary,no,1180.0,yes,no,telephone,3,feb,40.0,6.0,264.0,2,failure,0,13/02/2018,29/12/2019
id_14904,50,management,single,tertiary,no,5689.0,no,no,cellular,31,aug,469.0,1.0,97.0,3,failure,1,05/08/2018,18/04/2020
id_28296,22,self-employed,single,unknown,no,1183.0,no,no,cellular,24,may,127.0,2.0,95.0,5,failure,0,21/09/2018,27/11/2019
id_20910,34,housemaid,married,tertiary,no,-1.0,no,no,cellular,26,may,139.0,1.0,188.0,1,failure,0,20/09/2018,23/05/2020
id_18743,30,services,single,secondary,no,169.0,no,no,cellular,1,jun,342.0,3.0,140.0,2,success,1,04/02/2018,28/04/2020
id_5978,57,services,single,secondary,no,1427.0,yes,no,cellular,20,apr,877.0,6.0,321.0,5,failure,0,22/07/2018,24/08/2019
id_27053,34,blue-collar,single,secondary,no,691.0,yes,no,cellular,6,feb,172.0,2.0,273.0,1,failure,0,31/07/2018,17/04/2020
id_12018,37,services,married,secondary,no,303.0,yes,no,cellular,6,may,139.0,1.0,364.0,1,failure,0,29/06/2018,01/05/2019
id_10346,57,management,married,tertiary,no,2961.0,yes,no,cellular,31,aug,75.0,1.0,98.0,11,other,0,02/06/2018,31/07/2020
id_31178,37,admin.,single,secondary,no,985.0,yes,no,cellular,15,apr,327.0,3.0,145.0,5,other,0,14/03/2018,10/05/2020
id_6619,33,services,married,tertiary,no,546.0,yes,yes,cellular,3,feb,45.0,2.0,270.0,1,failure,0,17/12/2018,08/12/2020
id_27150,36,management,married,tertiary,no,1907.0,yes,no,cellular,16,apr,104.0,1.0,148.0,5,other,0,26/01/2018,06/02/2020
id_2491,31,management,divorced,tertiary,no,882.0,yes,no,cellular,10,dec,798.0,1.0,185.0,5,other,1,24/08/2018,06/01/2020
id_18455,39,blue-collar,married,primary,no,429.0,no,no,cellular,20,nov,90.0,2.0,136.0,3,failure,0,18/01/2018,02/02/2020
id_33037,34,services,single,secondary,no,1481.0,yes,no,cellular,18,nov,180.0,2.0,174.0,1,other,0,03/04/2018,21/11/2019
id_44715,38,blue-collar,married,secondary,no,506.0,yes,no,cellular,20,apr,90.0,2.0,347.0,2,failure,0,03/12/2018,07/02/2020
id_22818,37,management,married,tertiary,no,188.0,no,no,cellular,10,feb,77.0,2.0,188.0,2,failure,0,10/07/2018,15/04/2019
id_32341,30,student,single,tertiary,no,3733.0,yes,no,cellular,21,aug,408.0,5.0,91.0,7,success,0,16/11/2018,06/11/2019
id_23443,38,blue-collar,single,tertiary,no,3651.0,yes,no,cellular,15,apr,635.0,2.0,146.0,4,failure,0,15/06/2018,11/08/2019
id_26751,30,management,single,tertiary,no,2.0,yes,no,cellular,13,may,152.0,1.0,351.0,1,failure,0,10/01/2018,07/12/2019
id_12016,37,management,single,tertiary,no,2645.0,no,no,cellular,13,oct,219.0,1.0,182.0,1,success,1,23/10/2018,22/12/2020
id_20033,60,unknown,married,unknown,no,1504.0,no,no,cellular,16,nov,295.0,1.0,104.0,2,failure,0,03/06/2018,22/03/2019
id_27748,28,management,single,tertiary,yes,1411.0,yes,no,cellular,8,jul,305.0,1.0,521.0,1,failure,1,12/12/2018,26/03/2020
id_29747,63,retired,married,primary,no,1083.0,no,no,cellular,14,oct,210.0,1.0,183.0,1,success,0,29/09/2018,19/07/2019
id_23344,50,entrepreneur,married,tertiary,no,4972.0,yes,no,cellular,13,may,28.0,9.0,173.0,1,failure,0,10/09/2018,09/04/2020
id_17212,24,technician,married,secondary,no,560.0,yes,no,cellular,6,nov,350.0,2.0,80.0,2,success,1,02/09/2018,29/08/2020
id_36794,34,blue-collar,single,secondary,no,-318.0,yes,no,cellular,17,apr,534.0,3.0,346.0,1,other,0,01/09/2018,22/03/2020
id_11509,45,housemaid,married,primary,no,3.0,no,yes,cellular,17,nov,825.0,1.0,129.0,2,failure,0,21/09/2018,15/11/2020
id_11949,51,blue-collar,married,primary,no,303.0,no,no,cellular,28,jul,406.0,3.0,181.0,1,success,1,05/03/2018,22/05/2020
id_1191,33,blue-collar,single,tertiary,no,327.0,yes,no,cellular,14,may,394.0,1.0,175.0,1,failure,0,21/04/2018,11/06/2019
id_37525,47,management,married,tertiary,no,5883.0,no,no,cellular,2,jun,197.0,3.0,293.0,2,failure,1,30/07/2018,25/12/2020
id_23401,65,retired,married,tertiary,no,2141.0,no,no,cellular,13,jan,236.0,1.0,91.0,2,failure,0,22/11/2018,24/12/2020
id_28785,31,admin.,married,secondary,no,-5.0,yes,no,cellular,10,feb,88.0,1.0,85.0,1,failure,0,27/01/2018,27/10/2020
id_44440,20,student,single,secondary,no,231.0,yes,no,cellular,18,may,37.0,5.0,354.0,7,other,0,04/08/2018,06/07/2019
id_5411,25,blue-collar,married,secondary,no,356.0,yes,no,cellular,8,apr,219.0,3.0,317.0,4,other,0,31/01/2018,22/04/2020
id_22968,29,blue-collar,married,secondary,no,1980.0,yes,no,cellular,16,apr,179.0,1.0,268.0,2,failure,0,12/03/2018,11/04/2019
id_33458,24,student,single,tertiary,no,245.0,yes,no,cellular,11,may,442.0,2.0,371.0,1,other,0,24/07/2018,29/05/2019
id_3076,73,retired,married,secondary,no,930.0,no,no,cellular,5,may,208.0,1.0,99.0,2,failure,1,10/09/2018,06/09/2020
id_14117,33,management,single,tertiary,no,3285.0,no,no,cellular,2,feb,274.0,1.0,73.0,1,failure,1,29/09/2018,03/12/2020
id_6592,29,services,single,secondary,no,339.0,no,no,cellular,3,dec,357.0,1.0,182.0,1,success,1,29/08/2018,17/12/2019
id_7233,47,management,married,tertiary,no,83.0,yes,no,cellular,14,may,594.0,5.0,359.0,1,other,1,23/04/2018,05/07/2019
id_9447,50,self-employed,single,tertiary,no,23.0,yes,no,cellular,18,nov,163.0,1.0,188.0,1,failure,0,08/06/2018,17/09/2019
id_32301,23,services,married,secondary,no,50.0,yes,yes,cellular,7,may,152.0,2.0,357.0,2,failure,0,09/06/2018,09/08/2019
id_301,38,retired,single,secondary,no,1730.0,yes,no,cellular,12,may,151.0,2.0,343.0,4,failure,0,14/04/2018,31/07/2020
id_17443,37,management,single,tertiary,no,-1.0,no,yes,cellular,18,nov,317.0,1.0,96.0,4,failure,0,14/05/2018,01/05/2020
id_43654,47,management,married,tertiary,no,493.0,yes,no,cellular,6,may,64.0,1.0,358.0,1,failure,0,12/08/2018,06/03/2020
id_21600,50,services,married,secondary,no,2406.0,yes,no,cellular,13,may,272.0,4.0,293.0,2,failure,0,02/05/2018,22/07/2019
id_32458,77,retired,married,primary,no,29337.0,no,no,cellular,15,mar,250.0,1.0,91.0,2,other,1,26/11/2018,05/09/2020
id_35804,33,blue-collar,married,secondary,no,1260.0,yes,no,cellular,20,apr,89.0,3.0,329.0,7,failure,0,31/01/2018,18/07/2020
id_22914,59,services,married,secondary,no,598.0,yes,no,cellular,3,feb,47.0,7.0,265.0,5,other,0,10/08/2018,29/05/2019
id_9969,60,management,married,tertiary,no,2143.0,yes,no,cellular,4,feb,54.0,2.0,274.0,3,failure,0,16/11/2018,17/09/2019
id_18333,32,blue-collar,married,secondary,no,1.0,yes,no,cellular,8,may,343.0,1.0,170.0,2,failure,0,09/06/2018,16/04/2020
id_28143,35,management,married,tertiary,no,253.0,no,no,cellular,24,feb,579.0,2.0,183.0,10,success,1,03/09/2018,09/12/2020
id_31374,32,admin.,single,secondary,no,345.0,yes,no,cellular,5,may,20.0,7.0,354.0,2,other,0,01/05/2018,23/09/2020
id_40347,35,management,married,tertiary,no,1789.0,yes,no,cellular,28,jun,130.0,3.0,392.0,2,other,0,26/03/2018,28/06/2019
id_32380,32,technician,married,secondary,no,165.0,yes,no,cellular,12,may,81.0,4.0,350.0,1,failure,0,01/10/2018,28/01/2019
id_30565,57,management,married,tertiary,no,319.0,no,no,cellular,1,sep,824.0,1.0,183.0,3,success,1,04/09/2018,10/12/2019
id_4551,54,technician,married,secondary,no,315.0,no,no,cellular,6,feb,25.0,8.0,9.0,3,other,0,22/11/2018,14/10/2019
id_25863,24,admin.,married,tertiary,no,906.0,no,no,cellular,2,nov,126.0,1.0,160.0,1,success,0,08/08/2018,03/05/2019
id_1379,33,services,married,secondary,no,142.0,yes,no,cellular,2,feb,125.0,1.0,252.0,2,other,0,21/11/2018,06/07/2019
id_27575,24,student,single,secondary,no,1167.0,no,no,cellular,9,jul,113.0,1.0,301.0,1,other,0,10/03/2018,21/12/2019
id_24798,30,services,single,tertiary,no,750.0,yes,no,cellular,18,may,147.0,2.0,357.0,2,other,0,10/09/2018,18/10/2019
id_13504,55,retired,married,secondary,no,487.0,no,no,cellular,2,feb,93.0,2.0,187.0,2,failure,0,16/07/2018,22/08/2020
id_26622,31,services,single,secondary,no,1264.0,yes,no,cellular,8,apr,102.0,4.0,320.0,8,other,0,23/03/2018,07/11/2020
